rec lig
carlos_cd/AMPC/PDB_Structures/1I5Q 4KG2
carlos_cd/AMPC/PDB_Structures/3IXB 1IEL
carlos_cd/AMPC/PDB_Structures/2FFY 4KG2
carlos_cd/AMPC/PDB_Structures/4KG5 1I5Q
carlos_cd/AOFB/PDB_Structures/2C64 2XFN
carlos_cd/AOFB/PDB_Structures/2XFN 2C64
carlos_cd/CAH2/PDB_Structures/3M04 3F4X
carlos_cd/CAH2/PDB_Structures/4FVN 5MJN
carlos_cd/CAH2/PDB_Structures/5TY9 5MJN
carlos_cd/CAH2/PDB_Structures/1IF6 5U0F
carlos_cd/CAH2/PDB_Structures/3T5Z 1OKM
carlos_cd/CASP3/PDB_Structures/2C2M 2XYG
carlos_cd/CASP3/PDB_Structures/2C2M 2CNO
carlos_cd/CASP3/PDB_Structures/2CNK 2CNO
carlos_cd/CASP3/PDB_Structures/2CNK 2XYP
carlos_cd/CASP3/PDB_Structures/2CDR 2CNO
carlos_cd/CASP3/PDB_Structures/2CNN 2XYG
carlos_cd/CASP3/PDB_Structures/2CNN 2XYP
carlos_cd/CASP3/PDB_Structures/2CNO 2XYP
carlos_cd/CASP3/PDB_Structures/2CNL 2XYG
carlos_cd/CASP3/PDB_Structures/2CNL 2XYP
carlos_cd/CASP3/PDB_Structures/2C1E 2XYP
carlos_cd/CASP3/PDB_Structures/2C2O 2XYG
carlos_cd/CASP3/PDB_Structures/2C2O 2CNO
carlos_cd/CASP3/PDB_Structures/2C2O 2XYP
carlos_cd/CDK2/PDB_Structures/3BHU 3QL8
carlos_cd/CDK2/PDB_Structures/3BHU 2C5V
carlos_cd/CDK2/PDB_Structures/3QZF 5ANE
carlos_cd/CDK2/PDB_Structures/5ANK 5JQ8
carlos_cd/CDK2/PDB_Structures/4FKI 4D1Z
carlos_cd/CDK2/PDB_Structures/4D1X 3R73
carlos_cd/CDK2/PDB_Structures/3R73 3QQH
carlos_cd/CDK2/PDB_Structures/3QXO 3R7I
carlos_cd/CDK2/PDB_Structures/3R1Q 5AND
carlos_cd/CDK2/PDB_Structures/5FP6 3QL8
carlos_cd/CDK2/PDB_Structures/5FP6 2J9M
carlos_cd/EGFR/PDB_Structures/2ITX 5FED
carlos_cd/EGFR/PDB_Structures/2ITX 5UGC
carlos_cd/EGFR/PDB_Structures/5UWD 5FED
carlos_cd/EGFR/PDB_Structures/2EB3 4LQM
carlos_cd/EGFR/PDB_Structures/2EB3 5FEQ
carlos_cd/EGFR/PDB_Structures/5U8L 4HJO
carlos_cd/ESR1/PDB_Structures/5TN4 4PPP
carlos_cd/ESR1/PDB_Structures/3L03 5DZ0
carlos_cd/ESR1/PDB_Structures/5DVV 5TMT
carlos_cd/ESR1/PDB_Structures/4IU7 5DYD
carlos_cd/ESR1/PDB_Structures/5TNB 3OSA
carlos_cd/ESR1/PDB_Structures/2QXS 5TMM
carlos_cd/ESR1/PDB_Structures/5DZ0 5DLR
carlos_cd/ESR1/PDB_Structures/5TMT 5TNB
carlos_cd/ESR1/PDB_Structures/5KRL 5KCF
carlos_cd/ESR1/PDB_Structures/5TM6 5DWE
carlos_cd/ESR1/PDB_Structures/4PPP 5TN9
carlos_cd/ESR1/PDB_Structures/5TLT 5DU5
carlos_cd/ESR1/PDB_Structures/5DXK 5TLL
carlos_cd/ESR1/PDB_Structures/3HLV 5DZ3
carlos_cd/ESR1/PDB_Structures/3UUA 3OSA
carlos_cd/ESR1/PDB_Structures/5DRM 5EIT
carlos_cd/ESR1/PDB_Structures/5DRM 5DYD
carlos_cd/ESR1/PDB_Structures/5U2D 2QGT
carlos_cd/ESR1/PDB_Structures/5DIE 5DRM
carlos_cd/ESR1/PDB_Structures/5DWI 3L03
carlos_cd/ESR1/PDB_Structures/5TM4 3UUC
carlos_cd/ESR1/PDB_Structures/5DYD 5DZ3
carlos_cd/ESR1/PDB_Structures/5KCU 2QAB
carlos_cd/ESR1/PDB_Structures/5TM9 5EGV
carlos_cd/ESR1/PDB_Structures/5TLP 5TLU
carlos_cd/FA10/PDB_Structures/1IQN 2EI7
carlos_cd/FA10/PDB_Structures/4Y7B 2PR3
carlos_cd/FA7/PDB_Structures/1CVW 4ZMA
carlos_cd/FA7/PDB_Structures/1W8B 2EC9
carlos_cd/FA7/PDB_Structures/3ELA 2EC9
carlos_cd/GLCM/PDB_Structures/1Y7V 2VT0
carlos_cd/GLCM/PDB_Structures/1Y7V 5LVX
carlos_cd/GLCM/PDB_Structures/5LVX 2VT0
carlos_cd/GLCM/PDB_Structures/5LVX 1Y7V
carlos_cd/GLCM/PDB_Structures/2VT0 1Y7V
carlos_cd/GLCM/PDB_Structures/2VT0 5LVX
carlos_cd/GRIA2/PDB_Structures/3T96 3T9V
carlos_cd/GRIA2/PDB_Structures/1P1W 3KGC
carlos_cd/GRIA2/PDB_Structures/4L17 3T9V
carlos_cd/GRIA2/PDB_Structures/1NNP 3T9V
carlos_cd/GRIA2/PDB_Structures/1P1U 1NNP
carlos_cd/GRIA2/PDB_Structures/4U23 1LB9
carlos_cd/GRIA2/PDB_Structures/4F3G 4Q30
carlos_cd/GRIA2/PDB_Structures/1GR2 3T9V
carlos_cd/GRIA2/PDB_Structures/1LB8 1LB9
carlos_cd/HIVINT/PDB_Structures/4CJW 4CHP
carlos_cd/HIVPR/PDB_Structures/3IA9 3SA5
carlos_cd/HIVPR/PDB_Structures/3TL9 5COO
carlos_cd/HIVPR/PDB_Structures/2A1E 3R4B
carlos_cd/HIVPR/PDB_Structures/1T3R 1A8G
carlos_cd/HIVPR/PDB_Structures/4DQF 1N49
carlos_cd/HIVPR/PDB_Structures/5COO 2BPW
carlos_cd/HIVPR/PDB_Structures/5WLO 3EM4
carlos_cd/HIVRT/PDB_Structures/4IFY 5VQX
carlos_cd/HIVRT/PDB_Structures/5VQZ 5VQW
carlos_cd/HIVRT/PDB_Structures/3MED 1LWF
carlos_cd/HIVRT/PDB_Structures/5VQV 3DM2
carlos_cd/HIVRT/PDB_Structures/2IC3 1RT4
carlos_cd/HS90A/PDB_Structures/4LWG 5LQ9
carlos_cd/HS90A/PDB_Structures/4LWG 3MNR
carlos_cd/HS90A/PDB_Structures/2YEA 5LRZ
carlos_cd/HS90A/PDB_Structures/3MNR 2YE2
carlos_cd/HS90A/PDB_Structures/3MNR 4YKZ
carlos_cd/HS90A/PDB_Structures/5M4H 3T2S
carlos_cd/HS90A/PDB_Structures/1OSF 2BSM
carlos_cd/KITH/PDB_Structures/2UZ3 2B8T
